"id","Default","en","ru"
"PatientType.DRTB_CLOSE_CONTACT_WITHSS_NEW","Close Contact of DR TB With S/S - New","Close Contact of DR TB With S/S - New","Близкое контактное лицо резиситентного туберкулезного пациента с серьезными симптомами - новый"
"PatientType.DRTB_CLOSE_CONTACT_WITHSS_PREVIOUSLY_TREATED","Close Contact of DR TB With S/S - Previously Treated","Close Contact of DR TB With S/S - Previously Treated","Близкое контактное лицо резиситентного туберкулезного пациента с серьезными симптомами - лечился ранее"
"PatientType.DRTB_CLOSE_CONTACT_WITHSS_UNKNOWN_HISTORY","Close Contact of DR TB With S/S - Unknown History","Close Contact of DR TB With S/S - Unknown History","Близкое контактное лицо резиситентного туберкулезного пациента с серьезными симптомами- история неизвестна"
"PatientType.DRTB_OTHER_NEW","Other - New","Other - New","Другое - новый"
"PatientType.DRTB_OTHER_PREVIOUSLY_TREATED","Other - Previously Treated","Other - Previously Treated","Другое - лечился ранее"
"PatientType.DRTB_OTHER_UNKNOWN_HISTORY","Other - Unknown History","Other - Unknown History","Другое - история неизвестна"
"PatientType.DRTB_TRANSFER_IN","Transfer in (form another DR TB treatment initiation center)","Transfer in (form another DR TB treatment initiation center)","Переведен из ( другого резистентного туберкулезного центра начала лечения)"
"PatientType.FAILURE_CATI","After Cat I Failure","After Cat I Failure","После неудачи по Кат I"
"PatientType.FAILURE_CATII","After Cat II Failure","After Cat II Failure","После неудачи по Кат II"
"PatientType.FAILURE_CATIV","After Cat IV Failure","After Cat IV Failure","После неудачи по Кат IV"
"PatientType.FAILURE_FT","After failure of first treatment with first-line drugs","After failure of first treatment with first-line drugs","Неудача первого  лечения с лекарствами первого ряда"
"PatientType.FAILURE_RT","After failure of retreatment with first-line drugs","After failure of retreatment with first-line drugs","Неудача повторного  лечения с лекарствами первого ряда"
"PatientType.HIV_INFECTED_WITHSS_NEW","HIV infected patient with TB S/S - New","HIV infected patient with TB S/S - New","Пациентс ВИЧ с ТБ С/С - новый"
"PatientType.HIV_INFECTED_WITHSS_PREVIOUSLY_TREATED","HIV infected patient with TB S/S - Previously Treated","HIV infected patient with TB S/S - Previously Treated","Пациентс ВИЧ с ТБ С/С - лечился ранее"
"PatientType.HIV_INFECTED_WITHSS_UNKNOWN_HISTORY","HIV infected patient with TB S/S - Unknown History","HIV infected patient with TB S/S - Unknown History","Пациентс ВИЧ с ТБ С/С - история неизвестна"
"PatientType.NEW","New","New","Новый"
"PatientType.OTHER","Other","Other","Другой"
"PatientType.OTHERNEG","Other (-)","Other (-)","Другой (-)"
"PatientType.OTHERPOS","Other (+)","Other (+)","Другой (+)"
"PatientType.OTHER_NONDOTS","Other Non-DOTS","Other Non-DOTS","Другой (не-ДОТС)"
"PatientType.OTHER_PREVIOUSLY_TREATED","Other previously treated","Other previously treated","Другой лечился ранее"
"PatientType.PREVIOUSLY_TREATED","Previously treated","Previously treated","Лечился ранее"
"PatientType.RELAPSE","Relapse","Relapse","Рецидив"
"PatientType.RELAPSE_CATI","Cat I Relapse","Cat I Relapse","Рецидив после Кат I"
"PatientType.RELAPSE_CATII","Cat II Relapse","Cat II Relapse","Рецидив после Кат II"
"PatientType.RELAPSE_CATIV","Cat IV Relapse","Cat IV Relapse","Рецидив после Кат IV"
"PatientType.RESISTANCE_PATTERN_CHANGED","Resistance Pattern Changed","Resistance Pattern Changed","Тип резистентности изменился"
"PatientType.TRANSFER_IN","Transferred in","Transferred in","Переведен в"
"PatientType.TREATMENT_AFTER_FAILURE","Treatment after failure","Treatment after failure","Лечение после неудачи"
"PatientType.TREATMENT_AFTER_LOSS_FOLLOW_UP","Treatment after loss to follow-up","Treatment after loss to follow-up","Лечение после неудачи продолжения лечения "
"PatientType.UNKNOWN_PREVIOUS_TB_TREAT","Unknown previous TB treatment history","Unknown previous TB treatment history","Предыдущая история лечения ТБ неизвестна"
"Pattern.mobile","Mobile number must contain numbers only","Mobile number must contain numbers only","Номер мобильного должен содержать только числа"
"Period.endDate","Finish date","Finish date","Дата завершения"
"Period.iniDate","Start date","Start date","Дата начала"
"Permission.ADMIN","System administration","System administration","Администрирование системы"
"Permission.ADMREP","Reports","Reports","Отчеты"
"Permission.ANSWER_ISSUE","Answer an issue","Answer an issue","Отвечать на проблему"
"Permission.CASEMAN","Case management","Case management","Управление клиническими случаями"
"Permission.CASE_COMMENTS","Add comments to a case","Add comments to a case","Добавить комментарии к случаю"
"Permission.CASE_DEL_VAL","Edit/Delete case after validation","Edit/Delete case after validation","Редактировать/удалить случай после валидации"
"Permission.CASE_INTAKEMED","Medicine intake follow-up","Medicine intake follow-up","Учёт приёма лекарств"
"Permission.CASE_TAG","Assign tags to a case","Assign tags to a case","Определить закладки к случаю"
"Permission.CASE_TREAT","Patient treatment","Patient treatment","Лечение пациента"
"Permission.CHECKUPDATE","Update Update e-TB Manager versione-TB Manager version","Update Update e-TB Manager versione-TB Manager version","Корректировка версии е-ТБ менеджера"
"Permission.CHECKUPDT","Download and update e-TB Manager version","Download and update e-TB Manager version","Скачайте и скорректируйте версию е-ТБ менеджера"
"Permission.CLOSEDEL_ISSUE","Close/delete issues of another user","Close/delete issues of another user","Закрыть/удалить проблему другого пользователя"
"Permission.CMDHISTORY","Command log report","Command log report","Журнал регистрации команд - отчет"
